criteria,n,n_exclude,pct_exclude,pct_all,pct_step
c0_all,15534641,NA,NA,1,NA
c1_notmissing,15529586,5055,3.2540179074624253e-4,0.9996745982092538,0.9996745982092538
c2_no_outcomes_within_2_weeks_post_vax2_1,15501710,27876,0.0017950253149053683,0.9978801569988003,0.9982049746850946
c3_no_outcomes_within_2_weeks_post_vax2_2,15501553,157,1.0127914920353949e-5,0.9978700505534694,0.9999898720850796
c4_no_outcomes_within_2_weeks_post_vax2_3,15501553,0,0,0.9978700505534694,1
